system,P@10,R@10,MAP,nDCG@10
bm25,0.95,0.6645833333333333,0.6506746031746031,0.8544543788302492
knn,0.975,0.6770833333333333,0.6726851851851852,0.8568357052589162
hybrid,0.975,0.68125,0.670489417989418,0.8411396865036557
